path,drive_id,mimeType,modifiedTime,sizeBytes
Leal Trust Administration Litigation,1OPEaGuRzWRj8tXC8qmeV4qbwWUMYpIVW,application/vnd.google-apps.folder,2026-08-18,
Leal Trust Administration Litigation/Land Acquisition,1vwHwHrRvMxcpOCbyxeX1kGaABI4HzpCN,application/vnd.google-apps.folder,2026-06-17T03:00:48.661Z,
Leal Trust Administration Litigation/Land Acquisition/160-Acre Acquisition Strategy & Term Sheet,1hx9lfKBHiyLEPpaW9_ewryiHuMMme1--9WvutTegnMc,application/vnd.google-apps.document,2026-05-21T18:01:18.208Z,6180
"Leal Trust Administration Litigation/Land Acquisition/Leal Land Holdings - P&L (33 Tons, $500k Feed Line)",1s05YngoS1vg0-jh4myWR4189-tQy1bsoXEZ8-1B2VM0,application/vnd.google-apps.spreadsheet,2026-05-21T18:18:46.733Z,1143
"Leal Trust Administration Litigation/Land Acquisition/Leal Land Holdings, LLC - Projected P&L (30 Tons @ $75)",1tWyCOpuB5ay5B2sw6nPrb9kgTvQG9VD8SmU1BC3lq4Y,application/vnd.google-apps.spreadsheet,2026-05-21T18:06:31.952Z,1057
Leal Trust Administration Litigation/LEAL DAIRY,18iKM4vcGn84IOuGl6qyGdJ0gSDRY87ih,application/vnd.google-apps.folder,2026-08-18T11:45:48.101Z,
Leal Trust Administration Litigation/LEAL DAIRY/1773591.pdf,1j9hGok-KE1e8pqP5l3LXL5Hk4Fvfpjxq,application/pdf,2026-08-06T14:04:42Z,1947729
Leal Trust Administration Litigation/LEAL DAIRY/2008_Annual_Report.xls,1KwJirgVxujTAZkz4kjrm-DNTHxEQZJZs,application/vnd.ms-excel,2009-08-26T17:28:44Z,1154560
Leal Trust Administration Litigation/LEAL DAIRY/2012 prepay.xlsx,1MkhiA40joFOvy8W_IQjzMrvgR1Nlrkyf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2012-11-08T18:10:19Z,12392
Leal Trust Administration Litigation/LEAL DAIRY/2012 Wheat.xlsx,1zcO1Q-hYa_snbBjxKfAwyX2MXCtmI7OZ,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2012-05-05T18:09:18Z,13794
Leal Trust Administration Litigation/LEAL DAIRY/AIR BOARD DAIRY PERMIT CALC.xlsx,1z-j7yAtbXa4M_pD9cMljNh-pUm7anAPi,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2013-08-14T21:32:12Z,13072
Leal Trust Administration Litigation/LEAL DAIRY/AIR BOARD VIOLATION.docx,1kfPB6DglAFyA2_OtwpJb-JNFfCb2NAO-,application/vnd.openxmlformats-officedocument.wordprocessingml.document,2013-09-11T22:19:45Z,10870
Leal Trust Administration Litigation/LEAL DAIRY/APN DESCRIPTIONS.xlsx,1dbN7hiHHGU-ZRixVqMqRbGri9-8tl0sf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2023-08-21T20:03:02Z,22250
Leal Trust Administration Litigation/LEAL DAIRY/BST formula.xls,1igIwJwhIhicukleUYmc0OcI2bpXaPOBo,application/vnd.ms-excel,2017-10-27T16:13:18Z,26112
Leal Trust Administration Litigation/LEAL DAIRY/CIH.xlsx,1ikHuTZjn7PSb-ptvBwDLUrDtcoETvPME,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2011-10-11T20:20:29Z,16501
Leal Trust Administration Litigation/LEAL DAIRY/Copy of database_dump-1.xls,18evHuUEGOjVvGmf9PGZ8A4LutUk1GR8g,application/vnd.ms-excel,2012-06-04T21:50:31Z,123904
Leal Trust Administration Litigation/LEAL DAIRY/Copy of Nutrient Budget -  pg 12 - ver 13 blank (2).xls,13LXi_o2rX7zuHYgz_fktWv3xQAtyzUnE,application/vnd.ms-excel,2012-06-04T21:50:40Z,169984
Leal Trust Administration Litigation/LEAL DAIRY/cottonseed.xlsx,1I-MCkzlYsuV9jcZrI5ldPQGMsEoE6pah,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2012-08-03T20:12:53Z,15476
Leal Trust Administration Litigation/LEAL DAIRY/COUNTY DAIRY PERMIT CALC.xlsx,1nemZSne1xZRHo9SKDJyLWlyprFyACIdj,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2013-03-04T20:58:39Z,13649
Leal Trust Administration Litigation/LEAL DAIRY/crops 2010-2011.xlsx,1O-T9GeKo6gPpFUZ_b9qZruf3jLXWFjFA,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2012-04-13T17:46:23Z,16466
Leal Trust Administration Litigation/LEAL DAIRY/CWT.xlsx,1FI4r9-nnguj3jSWsck5B2lsCVnbvYjPE,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2010-04-27T16:37:29Z,19141
Leal Trust Administration Litigation/LEAL DAIRY/dmbcalculator.exe,1bmtq06ojlEGcUOGtoQDhpHzhFlkmL-Pj,application/x-msdos-program,2011-05-09T23:49:30Z,28672
Leal Trust Administration Litigation/LEAL DAIRY/edison application.pdf,1A5S4GtYsxtbvS6jMzGN0bn5o6cZi2wk1,application/pdf,2011-02-28T21:05:55Z,8120
Leal Trust Administration Litigation/LEAL DAIRY/feed truck.jpg,1AXgUQ36vR3qsYyzxqRmMDXM0wQ6b2Lmm,image/jpeg,2013-01-02T17:22:43Z,1803264
Leal Trust Administration Litigation/LEAL DAIRY/hay cuts 2012.xlsx,17DiQV_bt5SDZSWxFDgWKO64F6EupswKv,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2012-11-01T00:07:34Z,12130
Leal Trust Administration Litigation/LEAL DAIRY/Hay vendor Statement.xlsx,14LoKZqHZQu7mGJUZqyXx_3tauRoftKn6,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-07-27T16:28:17Z,14116
Leal Trust Administration Litigation/LEAL DAIRY/Hay Vendor2.xlsx,1Cg9NN8eo-wMeyAhXsJ_JeNHi5dJyiTZ1,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2016-01-20T23:21:15Z,53047
Leal Trust Administration Litigation/LEAL DAIRY/heifer ranch budget.xlsx,1zOpRxCVCUAuAsnI50FZ7s1mtzLSAp56f,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2012-03-09T20:39:29Z,30660
Leal Trust Administration Litigation/LEAL DAIRY/LEAL Budget 6.21.17.xlsx,1sWOq52qLl-DEiTgfpDR7GA8FfLbg6dbE,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2017-06-21T18:45:54Z,153563
Leal Trust Administration Litigation/LEAL DAIRY/LEAL Budget Current.xlsx,1QC7ue1_HjwHEO8_LCGx6iIdkpNrRf577,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2026-05-02T05:53:08Z,121207
Leal Trust Administration Litigation/LEAL DAIRY/LEAL Budget pre 3.11.16.xlsx,1z21UVqjxiupjWaWMICp3p_x5BnX-ttHT,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2016-03-11T19:52:17Z,153215
Leal Trust Administration Litigation/LEAL DAIRY/Leal Dairy W9.pdf,1lnuAzEUeQhULnlxsaEMRpnFXBBW-W1wD,application/pdf,2011-04-01T15:02:56Z,1272321
Leal Trust Administration Litigation/LEAL DAIRY/Leal Farms.xlsx,17gtlZf2aWTCSmIPyP3iI6uGiWvexwNDO,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,2023-09-16T19:21:15Z,2799228
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS,1ixQi4cYfROV0d6fzqbjZyzkl-WEIog8b,application/vnd.google-apps.folder,2026-08-18T11:45:48.474Z,
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623,1eYehwUmedRpReT7JTpTeqiUzrsf2YmpW,application/vnd.google-apps.folder,2026-08-18,
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017,1KqZuUeJyXPzF1uUdGI34JECWNWMhVpgZ,application/vnd.google-apps.folder,2026-08-18,
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 10.31.pdf,1x8-rXTuO-juv2aOHAZ2jNpvXoVwlcopO,application/pdf,2017-11-02,250560
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 11.30.pdf,1W8E6jiKM1HJDdueRBQ3UHxqHTUfYDGdX,application/pdf,2017-12-04,259233
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 12.31.pdf,1aNJVQFUaOlhKFOu0cxzFiwYew8gWDjKh,application/pdf,2018-01-07,229348
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 3.31.pdf,1a9mPKECjusoxLFZ86D0e6N32Oq_bbwvk,application/pdf,2017-06-19,245671
