date,date_certainty,event,source,citation,category,source_is_brief_only
1992-12-31,exact,"Partners' capital 12/31/1992: total $282,888 (Manuel $156,897 / Steve $125,991)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf (1O7OGL798JcaTXginVNMIUgKtNV-ckK0l), FY1993/1992 stmt",financial,FALSE
1993-12-31,exact,"Partners' capital 12/31/1993: total $373,027 (Manuel $180,568 / Steve $192,459); withdrawals Manuel $82,430 / Steve $39,633",Reviewed financial statement,"Equity Accounts 1997-2015.pdf (1O7OGL798JcaTXginVNMIUgKtNV-ckK0l), FY1993/1992 stmt (Adair Evans Erwin Taylor & Gross)",financial,FALSE
1994-01-01,range,"FY1994-FY1996 partnership capital statements NOT LOCATED IN AVAILABLE RECORDS. No finding of withholding or concealment.",Absence of document,"Searched by title and full text across Litigation folder; no responsive document",gap,FALSE
1997-12-31,exact,"FY1997 withdrawals: Manuel/Hazel $16,231 / Steve $1,483",Draft reconciliation,"Capital Analysis 8-3-2017 (1L357_kNU9uk4pZFm2K0LuajeckXW2GOg) p.1 [DRAFT]",financial,FALSE
1998-12-31,exact,"FY1998 withdrawals: Manuel $19,909 / Steve $2,019",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY1998 stmt",financial,FALSE
1999-12-31,exact,"FY1999 withdrawals: Manuel $63,254 / Steve $2,090",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY1999 stmt",financial,FALSE
2000-12-31,fiscal-year-aggregate,"FY2000 withdrawals: Manuel $51,208 / Steve $4,318. Manuel 'Personal' category = $45,064. THIS IS AN ANNUAL CATEGORY TOTAL, NOT A DATED DRAW.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2000 stmt, Exhibit C",financial,FALSE
2000-00-00,NOT ESTABLISHED,"Kaweah Drive purchase / recording — NO DOCUMENT IN RECORD. Day-count gap to the $45,064 figure cannot be computed and is not reported.",No source,"No responsive document located",gap,FALSE
2001-12-31,exact,"FY2001 withdrawals: Manuel $44,821 / Steve $6,548",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2001 stmt",financial,FALSE
2002-12-31,exact,"FY2002 withdrawals: Manuel $42,620 / Steve $11,588",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2002 stmt",financial,FALSE
2002-00-00,NOT ESTABLISHED,"Kaweah refinance (2002) — NO DOCUMENT IN RECORD",No source,"No responsive document located",gap,FALSE
2003-12-31,exact,"FY2003 withdrawals: Manuel $34,882 / Steve $25,800",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2003 stmt",financial,FALSE
2003-00-00,NOT ESTABLISHED,"Kaweah refinance (2003) — NO DOCUMENT IN RECORD",No source,"No responsive document located",gap,FALSE
2004-12-31,exact,"FY2004 withdrawals: Manuel $40,168 / Steve $26,088; capital contribution $10,573",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2004 stmt",financial,FALSE
2004-00-00,NOT ESTABLISHED,"Kaweah HELOC (2004) — NO DOCUMENT IN RECORD",No source,"No responsive document located",gap,FALSE
2005-02-14,exact,"Manuel C. Leal Living Trust and Manuel C. Leal Bypass Trust established (uta dtd 2.14.05, as amended)",Trust instrument title,"The Manuel C. Leal Living Trust and Bypass Trust uta dtd 2.14.05 as amended (1VJRX5Agth22AlVDzfyUXEshTUdnVtSFT) — INSTRUMENT NOT YET REVIEWED",estate,FALSE
2005-12-31,exact,"FY2005 withdrawals: Manuel $252,355 / Steve $13,146 (Manuel 'Personal' $243,256)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2005 stmt",financial,FALSE
2006-12-31,exact,"FY2006 withdrawals: Manuel $52,212 / Steve $26,378; net LOSS $(114,303)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2006 stmt",financial,FALSE
2006-00-00,NOT ESTABLISHED,"Kaweah ARM (2006) — NO DOCUMENT IN RECORD",No source,"No responsive document located",gap,FALSE
2007-12-31,exact,"FY2007 withdrawals: Manuel $234,832 / Steve $78,895",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2007 stmt",financial,FALSE
2008-11-03,exact,"Hazel J. Leal Revocable Trust dated November 3, 2008 established",Pleading caption,"998 offer FINAL.pdf (11VQh2jHIMvTnhVQr2bcIVZjoXcwrudYB) caption; Mediation Brief (1bAo0s_6EL-Jc60VPzOCoCNDwlkiqDkzO) caption",estate,FALSE
2008-12-31,exact,"FY2008 withdrawals: Manuel $112,486 / Steve $29,446; net LOSS $(325,002)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2008 stmt",financial,FALSE
2009-05-13,exact,"Steve and Marla Leal Living Trust dated May 13, 2009 established",Mediation brief,"Mediation Brief p.2",estate,TRUE
2009-12-31,exact,"FY2009 withdrawals: Manuel $97,869 / Steve $28,033; net LOSS $(103,937)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2009 stmt",financial,FALSE
2010-12-31,exact,"FY2010 withdrawals: Manuel $50,119 / Steve $38,776",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2010 stmt",financial,FALSE
2011-12-31,exact,"FY2011 withdrawals: Manuel $41,507 / Steve $42,119 — STEVE DREW $612 MORE (ADVERSE)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2011 stmt",financial-adverse,FALSE
2012-12-31,exact,"FY2012 withdrawals: Manuel $58,574 / Steve $51,460; capital contribution $126,028 (Steve $125,987). FY2012 net income restated: $297,871 vs $338,244 across statements.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2012/2011 and FY2013/2012 stmts",financial,FALSE
2013-01-01,exact,"Prior period adjustment $(62,026) booked at 1/1/2013 (Note 5)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2014/2013 stmt",financial,FALSE
2013-12-31,exact,"FY2013 withdrawals: Manuel $114,045 / Steve $61,624. 12/31/2013 balance restated $4,074,922 -> $4,029,406.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2014/2013 and FY2013/2012 stmts",financial,FALSE
2014-12-31,exact,"FY2014 withdrawals: Manuel $110,081 / Steve $167,503 — STEVE DREW $57,422 MORE (ADVERSE). Steve 'Personal' $120,155 vs Manuel 'Personal' $7,333.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2015/2014 stmt",financial-adverse,FALSE
